                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.39303,                0.58809,                0.47186,                 0.8998,                0.83538,                 0.7657,                 0.8333,                0.68833,                0.82622,                0.75794,                0.81877,                0.70529,                0.60511,                 1.3207,                0.89615,                 1.0417,              0.0001982,              0.0001982,              0.0001982
                     89,                0.36605,                0.55873,                0.45439,                0.88859,                0.77988,                0.78476,                0.82804,                0.69018,                0.76253,                0.77409,                 0.8136,                0.69457,                0.61247,                 1.3064,                0.87843,                 1.0615,             0.00018406,             0.00018406,             0.00018406
                     90,                0.38493,                0.65874,                0.48318,                0.91614,                0.84268,                0.75638,                0.85251,                0.69592,                0.83783,                0.74907,                0.83819,                0.71837,                 0.6179,                 1.2985,                0.86209,                 1.0718,             0.00016991,             0.00016991,             0.00016991
                     91,                0.35247,                 0.6634,                0.56107,                0.88352,                0.86195,                0.75794,                0.86246,                0.71195,                0.86195,                0.75794,                0.85135,                0.74563,                0.63827,                 1.2832,                0.82592,                 1.0869,             0.00015576,             0.00015576,             0.00015576
                     92,                0.31508,                0.49499,                0.47971,                0.86074,                0.88885,                0.75086,                0.87449,                0.70667,                0.88885,                0.75086,                0.86083,                0.74938,                0.67875,                 1.2896,                0.81883,                 1.1134,             0.00014161,             0.00014161,             0.00014161
                     93,                0.30437,                0.47091,                0.43876,                0.85704,                0.84904,                 0.7756,                0.89213,                 0.7079,                0.84904,                 0.7756,                0.87845,                0.76112,                0.69488,                 1.2812,                0.88913,                 1.1228,             0.00012747,             0.00012747,             0.00012747
                     94,                0.31016,                0.45368,                0.43389,                0.86647,                0.83873,                0.76538,                0.88791,                0.71784,                0.82975,                0.75361,                0.87387,                0.75585,                0.67687,                  1.293,                0.95454,                 1.1096,             0.00011332,             0.00011332,             0.00011332
                     95,                0.30287,                0.48786,                0.41912,                0.85372,                0.83181,                0.71815,                0.87672,                0.71321,                0.83978,                0.71627,                0.86281,                0.74938,                0.63808,                 1.3094,                0.96633,                 1.0875,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.28368,                0.44816,                 0.3958,                 0.8421,                0.80455,                0.75433,                0.87476,                0.71933,                0.78879,                0.74198,                0.86076,                0.74846,                0.61951,                 1.3198,                0.96365,                 1.0692,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.29866,                 0.4491,                0.40312,                 0.8574,                0.79268,                0.78858,                0.88191,                0.71645,                0.77654,                0.77623,                0.86716,                0.75003,                0.61794,                 1.3349,                0.95909,                 1.0704,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.27237,                0.41932,                0.36376,                0.83996,                 0.7663,                0.78858,                0.87569,                0.71192,                0.75192,                0.77623,                0.86064,                 0.7392,                0.63432,                 1.3433,                 0.9559,                 1.0869,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.2821,                0.43867,                0.38091,                0.83863,                0.75964,                0.78858,                0.87413,                0.71093,                0.74531,                0.77623,                0.85899,                0.74302,                0.63612,                 1.3411,                0.93807,                 1.0929,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.26758,                0.44339,                0.36169,                0.82809,                0.76628,                0.78391,                 0.8674,                0.71228,                0.75154,                0.77157,                0.85222,                 0.7403,                0.62604,                 1.3266,                0.93612,                 1.0864,             2.8437e-05,             2.8437e-05,             2.8437e-05
